dc; Solucion Xpress; Solucion Greedy; Solucion Greedy Aleatorizada
250; 656; 813; 656
251; 656; 813; 656
252; 656; 813; 656
253; 656; 813; 656
254; 553; 813; 553
255; 553; 813; 553
256; 553; 2019; 553
257; 553; 2019; 553
258; 553; 813; 553
259; 553; 813; 553
260; 553; 7411; 553
261; 548; 7411; 548
262; 548; 7532; 548
263; 528; 839; 528
264; 528; 839; 528
265; 528; 839; 528
266; 528; 839; 528
267; 528; 839; 528
268; 528; 839; 528
269; 528; 839; 528
270; 528; 839; 528
271; 528; 839; 528
272; 517; 839; 517
273; 517; 839; 517
274; 517; 839; 517
275; 517; 839; 517
276; 517; 1845; 517
277; 517; 1845; 517
278; 517; 1845; 517
279; 517; 1845; 517
280; 517; 1845; 517
281; 517; 1845; 517
282; 333; 1596; 333
283; 286; 1571; 286
284; 286; 1571; 286
285; 286; 1577; 286
286; 286; 1577; 286
287; 286; 1577; 286
288; 286; 7034; 286
289; 286; 7034; 286
290; 286; 7034; 286
291; 286; 7034; 286
292; 286; 7028; 286
293; 286; 7028; 286
294; 286; 7028; 286
295; 286; 7028; 286
296; 286; 7028; 293
297; 286; 7028; 286
298; 286; 7028; 293
299; 286; 7034; 286
300; 286; 7034; 286
301; 286; 7034; 286
302; 286; 7034; 293
303; 286; 7034; 286
304; 268; 7034; 268
305; 268; 7250; 268
306; 268; 7250; 268
307; 268; 7250; 268
308; 268; 7250; 268
309; 268; 7250; 268
310; 268; 7250; 268
311; 268; 7250; 268
312; 268; 6984; 268
313; 268; 7200; 268
314; 268; 7200; 268
315; 268; 7013; 268
316; 268; 7013; 268
317; 268; 7013; 268
318; 268; 7013; 268
319; 268; 7013; 268
320; 268; 7013; 268
321; 268; 6984; 268
322; 268; 6984; 268
323; 268; 6984; 268
324; 268; 6984; 268
325; 268; 7034; 268
326; 268; 7034; 268
327; 268; 1610; 268
328; 261; 1610; 261
329; 261; 7034; 268
330; 243; 1610; 243
331; 243; 499; 243
332; 243; 1690; 243
333; 243; 1690; 243
334; 243; 1690; 243
335; 243; 437; 243
336; 243; 437; 243
337; 243; 437; 243
338; 243; 7001; 243
339; 243; 7001; 243
340; 243; 7001; 243
341; 202; 6960; 202
342; 202; 6960; 202
343; 202; 6903; 202
344; 140; 6903; 140
345; 140; 267; 140
346; 123; 267; 123
347; 123; 267; 123
348; 123; 267; 123
349; 116; 267; 116
350; 111; 210; 111
351; 111; 210; 111
352; 111; 305; 111
353; 93; 305; 93
354; 93; 305; 93
355; 93; 305; 93
356; 93; 305; 93
357; 93; 305; 93
358; 93; 305; 93
359; 93; 305; 93
360; 93; 305; 93
361; 93; 638; 93
362; 93; 305; 93
363; 86; 305; 86
364; 86; 305; 86
365; 86; 305; 86
366; 86; 305; 86
367; 86; 305; 86
368; 86; 305; 86
369; 86; 305; 86
370; 86; 305; 86
371; 86; 305; 86
372; 86; 305; 86
373; 86; 305; 86
374; 86; 305; 86
375; 86; 305; 86
376; 86; 305; 86
377; 86; 305; 86
378; 86; 508; 86
379; 86; 508; 86
380; 86; 508; 86
381; 86; 508; 86
382; 86; 508; 86
383; 86; 508; 86
384; 86; 508; 86
385; 86; 508; 86
386; 86; 508; 86
387; 86; 508; 86
388; 86; 508; 86
389; 86; 508; 86
390; 86; 508; 86
391; 86; 508; 86
392; 86; 508; 86
393; 86; 508; 86
394; 86; 508; 86
395; 86; 419; 86
396; 86; 419; 86
397; 86; 419; 86
398; 86; 419; 86
399; 86; 419; 86
400; 86; 419; 86
